ID,Gender,Marital_Status,Age,KidAge,Education,Income,Family_Size,Level,Recency
462809,Male,No,22,,No,199209,4,D,1
462643,Female,Yes,38,13,Yes,125866,3,A,148
466315,Female,Yes,67,,Yes,174846,1,B,1
461735,Male,Yes,67,42,Yes,183156,2,B,1
462669,Female,Yes,40,15,Yes,417027,6,A,79
461319,Male,Yes,56,31,No,355965,2,C,31
460156,Male,No,32,7,Yes,181797,3,C,61
464347,Female,No,33,8,Yes,123415,3,D,32
465015,Female,Yes,61,36,Yes,128402,3,D,112
465176,Female,Yes,55,30,Yes,250295,4,C,125
464041,Female,No,26,1,Yes,126715,3,A,36
464942,Male,No,19,,No,264054,4,D,136
461230,Female,No,19,,No,430155,1,D,2
459573,Male,Yes,70,,No,174811,1,A,62
460849,Female,Yes,58,,No,227281,1,B,3
460563,Female,No,41,16,No,237786,2,C,29
466865,Female,No,32,7,No,70000,5,D,126
461644,Male,No,31,6,No,162193,6,B,88
466772,Male,Yes,58,33,Yes,571874,4,B,142
464291,Female,Yes,79,,Yes,397045,1,C,99
466084,Male,Yes,49,,Yes,116664,1,A,46
459675,Female,No,18,,No,185776,4,D,86
465602,Male,Yes,33,8,Yes,302216,2,A,121
459168,Female,No,36,11,Yes,429869,2,B,43
461021,Female,Unknown,58,33,No,492668,3,B,125
465083,Male,Yes,56,31,No,455102,3,C,1
467604,Male,No,31,6,No,292814,8,A,22
459717,Male,Yes,49,24,Yes,236303,3,C,108
465882,Male,No,35,,Yes,398185,1,B,12
461996,Female,No,35,10,No,390481,4,C,139
463331,Female,Yes,45,20,Yes,398417,3,C,142
462216,Female,Yes,42,17,No,243066,2,A,127
462454,Male,No,19,,No,250931,3,D,92
467010,Male,No,26,,No,100000,1,D,66
459861,Female,Yes,83,58,No,221214,2,D,109
467917,Female,No,27,2,Yes,187713,4,D,53
465572,Male,No,32,,No,287605,1,D,126
460593,Female,Yes,28,3,No,258409,5,D,57
465891,Female,Yes,28,3,Yes,387350,2,A,13
467442,Male,Yes,56,31,Yes,475352,2,C,7
462044,Female,No,47,,Yes,498508,1,B,73
465686,Female,No,22,,No,162418,2,D,123
464590,Female,No,27,2,Yes,313436,3,A,2
466006,Female,Yes,49,24,Yes,491050,2,C,8
466152,Male,Yes,40,,No,199560,1,A,57
463156,Female,Yes,79,54,No,210118,2,A,1
465729,Male,Yes,41,16,Yes,282471,4,B,30
462384,Female,No,29,,Yes,223869,1,A,15
462442,Male,No,19,,No,124953,4,D,42
464191,Female,No,45,,Yes,135571,1,A,10
462078,Female,Yes,61,36,No,501539,2,B,98
467873,Female,Yes,36,11,Yes,460642,2,C,139
461270,Male,Yes,40,,Yes,476357,1,A,39
462960,Female,Yes,57,32,Yes,493636,2,C,19
464961,Male,Yes,76,,No,177302,1,A,127
462110,Male,Yes,32,7,Yes,393011,2,B,13
465769,Male,No,25,,Yes,297215,4,D,120
462267,Male,No,32,7,,342648,2,D,1
465269,Female,Yes,45,20,Yes,326612,3,C,2
460881,Male,Yes,72,,Yes,176065,2,D,65
461891,Male,Yes,48,23,Yes,323879,2,C,1
466935,Male,Yes,55,30,Yes,389404,2,C,98
464091,Male,Yes,74,49,Yes,194204,3,D,59
464535,Male,Yes,56,31,Yes,179904,2,A,1
463108,Male,Yes,59,34,Yes,236608,2,A,50
461356,Male,No,25,,Yes,419252,2,A,139
464570,Male,Yes,31,6,Yes,265753,2,A,33
464580,Male,No,27,2,No,578580,4,A,9
465233,Male,Yes,57,32,Yes,376631,4,B,21
467208,Female,Yes,39,14,Yes,100000,2,A,59
459954,Male,Yes,27,2,Yes,203519,2,D,18
460219,Female,Yes,51,26,Yes,589612,2,A,72
460877,Female,Yes,47,22,No,380504,5,B,1
460191,Female,No,33,8,No,170264,4,D,53
463742,Male,Yes,56,31,Yes,320306,4,C,110
463691,Female,No,33,8,No,100000,3,B,1
463250,Female,No,36,11,Yes,277067,2,D,2
463952,Male,Yes,51,26,No,417496,3,A,75
461558,Male,Yes,45,20,Yes,143967,2,C,74
466567,Female,No,49,,Yes,168931,1,D,96
465379,Male,No,30,5,No,108036,4,C,136
463814,Female,No,26,1,No,215669,3,D,12
466938,Male,Yes,63,,Yes,562694,1,A,1
460671,Male,Yes,35,10,No,713593,4,B,102
462204,Female,No,19,,No,245920,3,A,104
461671,Male,No,32,7,No,223215,5,D,8
459384,Male,Yes,52,27,Yes,211815,3,C,103
459905,Female,Yes,36,11,Yes,500410,2,C,39
464734,Female,No,42,17,No,516580,3,D,79
464125,Male,Yes,40,15,No,269524,2,D,51
467434,Male,No,39,14,Yes,498007,3,B,23
460956,Female,Yes,47,22,Yes,437618,4,C,8
465179,Female,Yes,61,36,Yes,389449,2,C,36
463338,Male,Yes,32,7,No,566152,2,D,2
467066,Male,Yes,55,,No,419264,1,B,61
463845,Male,Yes,58,,Yes,437957,1,D,77
459976,Female,No,38,,Yes,354488,1,D,127
461334,Male,Yes,63,38,Yes,319580,2,C,10
465108,Male,Yes,58,33,Yes,245308,2,C,103
462600,Male,Yes,30,5,No,140442,3,D,122
464144,Male,Yes,60,35,Yes,499574,4,C,126
466911,Male,Yes,68,43,No,400488,7,B,78
462806,Male,Yes,52,27,No,470471,3,A,140
463426,Male,Yes,38,13,No,224595,5,A,3
464065,Female,Yes,35,10,Yes,275122,2,B,39
462979,Male,No,18,,No,213792,2,D,117
462834,Male,Yes,30,5,Yes,102654,2,D,141
460764,Male,No,86,,No,165076,1,D,47
466466,Female,Unknown,19,,No,125053,5,D,1
460185,Male,No,25,,No,334098,3,D,136
459749,Male,Yes,59,34,Yes,564360,4,A,1
464406,Female,No,39,,Yes,470026,1,A,113
467758,Female,Yes,50,,Yes,298756,2,B,40
462059,Male,No,47,,Yes,515401,1,C,10
467905,Male,Yes,43,18,Yes,456925,3,D,33
461177,Male,Yes,36,11,No,576262,4,B,31
460765,Male,Yes,80,,No,186951,1,D,5
465386,Male,No,36,11,Yes,493798,2,C,1
465827,Male,No,27,2,No,156050,7,D,31
462332,Female,Yes,37,12,Yes,417172,2,A,8
464481,Male,Yes,46,21,Yes,460337,3,C,122
461011,Male,Yes,55,30,No,441047,4,B,101
464749,Female,Yes,47,22,No,158049,4,B,65
461094,Female,No,28,3,Yes,239757,3,D,74
462104,Male,Yes,39,14,No,586665,2,D,21
464524,Female,Yes,27,2,No,153570,2,A,16
466295,Female,Yes,42,,No,138343,2,A,34
461787,Male,Yes,72,47,Yes,228177,2,C,91
467857,Female,Yes,28,3,Yes,157727,2,A,2
460153,Male,No,35,10,Yes,669888,5,C,2
465215,Male,Yes,39,14,Yes,448872,5,A,79
466746,Female,Yes,69,44,Yes,161493,2,C,44
464857,Male,No,18,,No,261980,4,D,8
459478,Male,Yes,46,,Yes,340641,1,A,43
460723,Female,Yes,50,25,Yes,175495,2,B,136
459853,Male,No,30,5,No,368635,5,A,37
459390,Female,No,41,16,No,272381,2,B,99
460410,Female,No,39,14,Yes,268823,4,D,2
463823,Female,No,29,4,No,277742,4,D,8
462008,Female,Yes,37,12,Yes,268955,4,B,4
459750,Female,Yes,39,14,Yes,125410,2,A,27
459880,Female,Yes,48,23,Yes,482883,5,C,1
459261,Female,No,32,7,Yes,295055,3,C,85
465656,Male,Yes,78,,No,261030,2,B,17
465395,Female,Yes,43,18,No,121096,5,B,10
461631,Male,No,29,4,No,287519,5,C,92
464904,Female,Yes,28,3,No,165838,2,A,32
461740,Male,Yes,80,,Yes,252901,1,B,1
467092,Female,No,28,3,Yes,284169,4,D,2
464173,Male,Yes,71,46,Yes,572346,3,C,145
464972,Male,Yes,67,42,No,243561,9,A,1
467959,Female,No,26,,No,171968,1,A,31
467688,Female,Yes,47,22,Yes,148298,2,C,20
460043,Female,Yes,43,18,Yes,292103,2,B,1
466590,Female,No,27,2,Yes,233122,4,C,88
461191,Female,Yes,45,20,Yes,383803,4,D,5
465662,Male,Yes,76,,No,364581,1,C,41
459231,Female,Yes,43,18,Yes,403468,4,C,2
466495,Female,Yes,78,53,Yes,168109,2,B,89
459192,Male,Yes,35,10,Yes,372123,3,C,37
465710,Female,No,49,,Yes,411473,1,C,91
460258,Female,No,25,,Yes,190747,5,D,31
462813,Male,Yes,37,12,No,396769,5,A,14
463595,Female,No,32,7,No,137787,5,C,64
467768,Male,Yes,60,35,Yes,300092,2,C,16
465291,Female,Yes,45,20,Yes,523295,3,C,1
462996,Female,Yes,49,24,Yes,100000,3,C,10
463497,Male,No,32,7,Yes,238950,5,D,39
465301,Female,Yes,40,15,Yes,228680,3,B,123
464702,Male,Yes,59,34,No,302187,2,C,142
459012,Male,Yes,48,23,Yes,340544,5,B,75
465053,Male,Yes,82,57,Yes,384469,2,C,84
459420,Female,Yes,70,45,Yes,177052,2,B,2
464166,Male,No,31,6,Yes,593062,2,B,36
458987,Female,Yes,72,47,Yes,166187,2,C,1
467745,Male,Yes,50,25,Yes,249036,4,C,66
464866,Female,No,23,,No,215892,1,D,1
461081,Female,No,20,,No,157286,6,D,27
467896,Female,No,22,,No,224583,3,D,124
463991,Female,No,31,,Yes,223371,1,A,115
466620,Female,Yes,36,11,Yes,451470,2,C,70
462594,Male,Yes,52,27,No,526197,5,B,33
462206,Female,No,29,,Yes,319356,1,B,74
460697,Male,Yes,40,15,Yes,346963,4,C,5
467934,Female,No,40,,Yes,214307,1,A,94
460054,Male,Yes,38,13,Yes,463096,2,C,1
459576,Female,Yes,85,,No,154616,2,A,16
467910,Female,No,21,,No,282324,3,A,13
467335,Female,Yes,41,16,No,141847,2,D,2
460263,Male,Yes,40,15,Yes,424564,2,B,140
459340,Male,Yes,53,28,Yes,432723,3,B,123
465622,Female,Yes,42,17,Yes,481577,2,C,132
459395,Male,Yes,42,17,No,570704,2,D,5
467539,Male,Yes,48,23,Yes,358794,4,C,57
466574,Male,Yes,59,34,Yes,353724,2,C,51
466544,Male,Yes,41,16,Yes,498021,3,A,56
463610,Female,Yes,31,6,Yes,305161,2,A,135
465539,Female,Yes,49,24,Yes,453214,5,B,4
459823,Male,Yes,67,42,Yes,229874,2,A,12
467614,Male,Yes,35,10,No,342848,2,B,50
459073,Female,No,26,1,Yes,238682,3,C,49
466065,Male,Unknown,19,,No,208738,3,D,139
464863,Female,Yes,25,,No,204182,8,D,18
460022,Female,Yes,39,14,Yes,176261,2,A,26
459929,Male,Yes,63,38,Yes,525063,2,A,64
466613,Male,No,23,,No,263453,3,D,147
461149,Female,No,23,,No,151089,3,D,4
466068,Female,Yes,53,,Yes,222460,1,C,2
461513,Male,No,33,8,Yes,239223,2,B,102
464761,Female,Yes,50,25,No,160081,4,B,44
466236,Female,Yes,69,44,Yes,139249,2,B,69
459664,Male,No,37,,Yes,355065,1,B,15
461967,Female,No,20,,No,170304,4,C,63
460516,Female,Unknown,85,,No,180628,1,C,19
461710,Female,Yes,49,24,Yes,256554,4,C,75
462742,Male,No,18,,No,162104,3,D,104
459528,Female,Yes,52,27,Yes,208204,2,C,21
462691,Male,Yes,25,,No,205399,2,B,23
462934,Male,Yes,56,31,No,276479,2,A,97
465837,Male,No,62,,Yes,146375,1,A,48
464613,Female,No,35,10,,247862,3,B,30
467515,Male,Yes,28,3,Yes,179504,2,A,92
463429,Female,No,28,3,Yes,482022,3,A,49
464024,Male,No,20,,No,204508,5,D,3
460691,Female,No,27,,No,106738,1,D,103
461825,Female,No,56,,No,160379,1,A,25
467271,Male,Yes,45,20,Yes,478650,4,B,102
465634,Male,No,25,,Yes,153401,4,B,123
464801,Male,No,40,,No,256290,1,D,108
459429,Female,Yes,25,,Yes,134361,2,D,120
459888,Female,Yes,74,49,No,238237,2,D,4
463467,Female,No,23,,No,130968,4,D,125
462036,Female,Yes,67,42,Yes,241356,2,B,105
461282,Male,No,21,,No,184629,4,D,80
460448,Female,No,38,,Yes,484425,1,A,10
464464,Male,No,28,3,No,228568,4,C,35
462410,Female,No,32,7,No,188752,5,B,115
467252,Female,No,33,8,Yes,190100,4,D,26
459756,Female,Yes,56,31,No,246881,4,B,16
463789,Female,Yes,53,28,Yes,305617,2,C,136
466947,Male,Yes,57,32,No,481070,5,C,113
464150,Female,Yes,59,34,Yes,414827,3,C,107
465693,Female,Yes,25,,Yes,111722,4,A,64
461670,Male,Yes,59,34,Yes,433723,6,C,94
466768,Female,Yes,36,11,Yes,350173,4,C,104
461550,Male,Yes,37,12,Yes,615622,2,A,147
462438,Male,No,22,,No,274615,3,D,15
460704,Male,Yes,43,18,Yes,517453,2,B,48
464884,Male,Yes,41,16,Yes,209767,2,A,131
467050,Female,No,21,,No,149820,5,B,42
460738,Female,No,49,,No,137498,1,A,62
466176,Male,No,38,,Yes,291216,1,B,92
459488,Male,Yes,47,22,No,233676,4,A,18
467773,Male,Yes,70,45,Yes,199788,3,C,20
465425,Female,No,31,6,No,132378,4,B,2
